794	903
1033	3569	645
1013	3546	650
996	3562	654
980	3569	659
947	3557	663
948	3563	665
926	3564	668
904	3555	670
871	3567	673
858	3569	675
843	3569	675
828	3554	676
823	3539	676
799	3560	676
783	3563	675
753	3553	673
710	3561	671
721	3557	670
693	3556	666
666	3540	664
659	3574	660
657	3576	657
638	3554	652
610	3557	647
590	3568	642
574	3566	637
560	3566	631
528	3550	625
504	3579	619
494	3574	612
488	3569	605
454	3563	596
428	3563	588
414	3562	580
408	3580	572
376	3558	564
383	3556	556
359	3551	547
325	3572	537
312	3558	529
288	3574	520
269	3552	515
252	3555	513
228	3568	493
210	3552	504
186	3577	509
183	3556	516
167	3559	520
142	3559	525
117	3555	531
112	3567	535
95	3558	540
79	3558	769
59	3559	548
24	3569	553
17	3561	556
2	3560	559
4076	3565	562
4054	3553	565
4025	3544	567
4017	3554	569
3979	3555	571
3984	3547	572
3971	3556	574
3940	3561	575
3911	3558	575
3902	3558	575
3890	3555	575
3856	3553	574
3836	3563	573
3812	3556	572
3809	3577	571
3781	3551	570
3762	3562	567
3741	3552	565
3737	3556	563
3712	3579	560
3697	3547	557
3662	3549	554
3658	3573	549
3629	3560	545
3607	3565	541
3590	3564	536
3579	3561	531
3556	3543	526
3531	3560	520
3524	3563	521
3504	3564	506
3487	3571	528
3458	3551	542
3445	3558	555
3416	3565	566
3412	3560	576
3364	3541	589
3355	3558	600
3345	3558	611
3338	3553	622
3313	3563	633
3297	3565	646
3261	3559	658
3268	3552	668
3242	3578	677
3246	3562	686
3205	3552	696
3176	3558	705
3180	3541	715
3168	3567	723
3122	3578	731
3083	3553	738
3068	3560	745
3057	3548	752
3059	3562	758
3026	3562	763
3014	3568	767
2985	3557	772
2963	3558	779
2945	3569	775
2917	3569	776
2909	3559	778
2886	3561	779
2889	3561	780
2865	3551	779
2836	3551	778
2818	3561	778
2795	3553	775
2790	3550	772
2751	3560	769
2738	3563	765
2723	3556	760
2700	3565	756
2671	3561	750
2657	3559	744
2646	3561	737
2637	3553	729
2585	3566	721
2583	3553	713
2568	3566	704
2539	3563	695
2519	3567	685
2525	3561	676
2483	3559	665
2477	3567	654
2454	3559	644
2433	3562	633
2410	3563	623
2388	3552	610
2362	3578	598
2339	3558	586
2335	3565	575
2294	3558	570
2287	3557	552
2266	3563	565
2256	3544	576
2228	3552	583
2216	3547	591
2187	3559	599
2173	3556	605
2173	3559	612
2147	3554	618
2124	3561	626
2112	3559	631
2056	3557	637
2060	3572	642
2031	3559	647
2014	3556	652
1986	3568	656
1959	3553	659
1937	3558	663
1916	3563	665
1892	3557	667
1877	3557	669
1857	3551	670
1849	3569	671
1822	3557	671
1803	3556	672
1785	3566	671
1761	3555	670
1754	3569	669
1704	3562	666
1714	3567	663
1689	3564	661
1669	3559	657
1667	3537	654
1632	3565	649
1621	3567	645
1584	3564	640
1580	3569	634
1553	3567	627
1530	3567	621
1513	3576	614
1503	3571	606
1473	3563	600
1462	3532	593
1436	3555	584
1428	3549	576
1397	3565	568
1389	3562	560
1362	3553	550
1352	3551	541
1336	3552	538
1313	3566	533
1286	3551	546
1249	3553	552
1232	3569	563
1223	3563	571
1198	3547	579
1189	3563	589
1179	3545	596
1171	3562	605
1147	3558	612
1130	3561	618
1100	3562	624
1079	3556	631
1070	3551	638
1055	3560	642
1034	3556	647
1017	3557	651
989	3574	656
966	3561	659
940	3546	664
921	3571	667
923	3565	669
901	3559	671
869	3562	673
869	3555	674
845	3540	676
822	3563	676
827	3562	676
815	3567	676
777	3561	675
751	3558	674
730	3559	671
707	3571	669
693	3562	666
668	3560	663
633	3561	659
642	3558	656
638	3578	652
605	3561	647
594	3553	642
570	3567	636
549	3577	631
535	3555	624
522	3570	616
483	3569	610
461	3566	602
445	3566	594
447	3555	586
409	3568	577
411	3557	569
373	3561	561
353	3561	551
346	3565	543
337	3544	535
304	3563	527
278	3569	522
269	3548	509
231	3553	512
237	3550	497
205	3561	507
198	3553	513
165	3557	518
164	3555	523
135	3554	528
121	3556	533
98	3565	539
76	3567	543
64	3556	547
51	3560	552
21	3560	554
14	3561	557
4066	3566	561
4059	3560	564
4027	3560	566
4016	3541	569
3984	3567	571
3976	3566	572
3961	3577	574
3945	3549	574
3915	3560	576
3928	3560	575
3883	3556	575
3855	3572	575
3854	3581	574
3827	3584	576
3801	3602	581
3788	3640	586
3776	3647	587
3764	3669	588
3735	3691	587
3726	3707	584
3694	3714	582
3661	3733	578
3659	3728	574
3632	3739	570
3605	3743	565
3619	3727	562
3579	3740	557
3576	3745	551
3539	3728	544
3538	3730	559
3520	3735	533
3485	3740	513
3462	3742	552
3460	3759	572
3440	3736	586
3416	3744	596
3394	3735	608
3370	3735	623
3371	3735	637
3328	3744	649
3318	3730	661
3296	3740	674
3269	3739	686
3266	3739	700
3255	3739	711
3228	3740	719
3211	3754	729
3194	3745	743
3180	3742	753
3159	3740	761
3129	3746	770
3116	3754	779
3099	3742	788
3066	3746	794
3045	3742	802
3043	3737	809
3022	3728	815
3008	3740	819
2983	3755	821
2949	3743	825
2939	3749	826
2915	3751	829
2911	3750	828
2889	3737	830
2869	3735	829
2839	3724	828
2820	3735	826
2791	3737	824
2781	3743	823
2772	3747	817
2760	3742	815
2727	3745	810
2709	3738	805
2705	3756	798
2668	3747	790
2675	3733	784
2636	3738	776
2626	3732	766
2587	3745	756
2574	3744	747
2549	3742	737
2550	3733	726
2515	3743	714
2489	3737	703
2474	3751	691
2451	3747	679
2426	3727	666
2427	3745	654
2382	3733	640
2361	3751	627
2367	3750	614
2337	3720	612
2318	3753	618
2299	3760	576
2284	3745	554
2233	3740	588
2251	3742	602
2217	3749	612
2188	3764	619
2178	3735	627
2161	3742	637
2143	3738	643
2129	3728	649
2103	3749	656
2093	3748	663
2053	3742	669
2032	3744	674
2028	3731	679
1978	3740	684
1970	3725	688
1950	3730	691
1923	3744	693
1917	3727	697
1881	3737	698
1864	3749	699
1841	3745	700
1833	3743	698
1810	3743	700
1796	3737	701
1789	3751	700
1763	3743	698
1750	3738	696
1713	3731	694
1686	3742	691
1675	3737	688
1646	3758	683
1629	3745	678
1633	3747	674
1599	3735	668
1588	3759	662
1560	3746	655
1542	3730	648
1516	3747	641
1514	3734	632
1479	3733	625
1469	3742	616
1434	3736	608
1418	3737	599
1390	3749	590
1377	3749	581
1382	3747	572
1354	3749	564
1315	3731	557
1297	3742	533
1276	3740	552
1261	3754	574
1243	3737	583
1233	3734	593
1207	3735	602
1186	3753	611
1173	3734	618
1150	3737	627
1142	3752	635
1120	3747	642
1101	3735	649
1092	3744	657
1084	3748	664
1056	3743	670
1040	3736	676
1022	3734	681
993	3745	686
967	3734	690
952	3734	695
931	3735	699
910	3752	701
906	3734	704
887	3737	705
854	3733	707
858	3722	865
841	3744	709
822	3748	710
801	3743	709
782	3756	708
750	3740	706
737	3743	705
719	3741	702
686	3746	700
681	3747	696
658	3746	692
656	3739	688
636	3755	683
611	3732	678
596	3733	673
577	3743	666
539	3742	659
541	3740	573
505	3744	644
498	3749	637
488	3755	628
456	3737	620
441	3739	612
410	3732	604
398	3746	594
380	3741	585
372	3729	576
345	3742	566
322	3730	556
316	3761	545
280	3748	536
262	3743	551
264	3756	524
228	3743	504
202	3739	526
175	3746	532
165	3756	540
170	3737	545
126	3739	550
121	3736	555
99	3750	560
74	3747	566
63	3744	571
46	3742	575
16	3750	579
4094	3730	583
4083	3745	587
4049	3736	590
4025	3735	592
4019	3742	595
4005	3741	597
3969	3749	599
3948	3747	599
3941	3740	600
3920	3743	601
3904	3745	601
3875	3743	602
3865	3750	601
3859	3726	600
3810	3751	599
3801	3748	597
3784	3748	595
3767	3744	593
3725	3746	590
3729	3743	587
3713	3738	584
3688	3754	581
3661	3750	577
3656	3726	572
3629	3744	567
3606	3751	563
3598	3724	559
3578	3745	553
3564	3743	547
3531	3751	542
3522	3734	557
3503	3760	522
3474	3738	526
3460	3742	563
3434	3746	578
3413	3749	589
3407	3739	601
3388	3743	615
3368	3751	629
3371	3739	642
3323	3732	653
3309	3757	665
3297	3753	678
3274	3733	690
3271	3741	701
3233	3753	713
3240	3737	722
3215	3738	734
3195	3753	745
3166	3732	755
3150	3746	765
3140	3757	772
3112	3745	781
3077	3739	789
3066	3743	796
3050	3751	801
3045	3743	809
2999	3735	813
2983	3735	820
2974	3731	814
2945	3725	825
2924	3743	827
2904	3727	828
2897	3757	829
2876	3730	830
2873	3740	829
2844	3750	829
2827	3753	827
2798	3727	823
2782	3752	820
2771	3742	816
2736	3735	812
2737	3751	807
2719	3742	802
2688	3730	795
2675	3733	788
2662	3749	780
2632	3743	773
2612	3756	766
2582	3740	752
2567	3721	744
2545	3756	734
2525	3732	724
2515	3746	713
2481	3737	701
2474	3734	690
2446	3756	678
2436	3735	666
2406	3744	651
2394	3749	641
2359	3739	626
2365	3752	612
2339	3752	613
2308	3739	616
2286	3745	565
2269	3751	555
2265	3752	595
2238	3738	606
2207	3754	613
2204	3735	622
2187	3736	630
2140	3765	638
2128	3741	646
2117	3735	652
2089	3750	659
2072	3731	666
2057	3745	672
2017	3743	677
2001	3744	682
1987	3732	685
1937	3755	688
1943	3736	693
1923	3741	695
1890	3725	697
1882	3755	698
1857	3748	700
1818	3737	700
1797	3746	702
1781	3749	700
1742	3747	697
1705	3750	694
1686	3732	689
1655	3752	683
1608	3739	675
1583	3735	666
1549	3735	657
1517	3752	645
1491	3742	634
1469	3746	622
1408	3743	794
1405	3737	595
1378	3730	581
1347	3744	566
1306	3740	562
1290	3757	541
1249	3739	574
1228	3743	589
1195	3749	605
1180	3746	618
1136	3752	631
1132	3741	642
1096	3743	653
1061	3739	664
1031	3749	674
1002	3748	682
960	3739	689
932	3735	696
916	3742	701
883	3737	704
861	3737	708
845	3743	709
827	3746	710
777	3761	709
