initialize try : 12 using wifi param to init
init param 1 : 0	init param 2 : -1725	init param 3 : 1000	init param 4 : 2000	init param 5 : 600	init param 6 : 2190	init param 7 : 1475	init param 8 : 1	init param 9 : 1050	init param 10 : 3000	



mode = 1



1068	2562	671
1067	2581	670
1074	2571	672
1089	2561	672
1077	2560	671
1086	2564	671
1083	2580	672
1060	2581	671
1092	2582	671
1073	2572	610
1058	2576	671
1073	2547	671
1073	2605	671
1065	2618	671
1084	2593	671
1088	2581	67
1087	2580	669
1080	2600	673
1068	2609	675
1078	2642	684
1085	2639	688
1087	2688	698
1079	2708	708
1078	2707	713
1067	2757	718
1051	2802	721
1071	2835	725
1053	2877	730
1035	2888	732
1040	2921	734
1006	2936	732
1031	2967	729
1038	2992	721
1024	3021	714
1042	3068	700
1039	3069	688
1017	3115	667
1045	3151	651
1027	3167	629
1038	3213	606
1029	3236	589
1040	3260	578
1053	3304	580
1044	3320	602
1046	3350	633
1047	3391	658
1057	3433	686
1078	3474	700
1088	3489	713
1097	3517	721
1098	3538	731
1116	3580	737
1126	3596	744
1133	3606	751
1132	3652	754
1134	3664	756
1144	3676	759
1183	3699	759
1143	3722	758
1174	3734	758
1182	3747	756
1190	3745	753
1187	3765	752
1199	3765	750
1194	3762	748
1217	3765	746
1225	3774	745
1236	3772	743
1244	3781	740
1248	3786	738
1223	3771	737
1258	3792	735
1275	3784	733
1271	3769	729
1273	3788	727
1279	3799	725
1302	3786	723
1316	3780	720
1318	3784	715
1322	3786	711
1343	3777	705
1318	3767	699
1349	3777	694
1350	3765	688
1346	3772	684
1368	3788	677
1387	3779	669
1394	3778	663
1391	3768	654
1409	3788	643
1418	3808	637
1426	3786	635
1418	3777	630
1430	3793	626
1415	3789	623
1432	3775	619
1461	3789	616
1457	3778	611
1475	3777	606
1483	3781	601
1477	3783	596
1502	3772	592
1505	3782	587
1521	3788	583
1525	3804	574
1511	3778	570
1527	3778	564
1538	3787	559
1577	3784	553
1550	3783	547
1547	3792	543
1576	3774	539
1571	3790	536
1579	3784	532
1600	3774	529
1597	3785	525
1605	3786	520
1618	3793	516
1615	3784	511
1624	3785	509
1638	3796	511
1634	3785	512
1634	3790	510
1659	3780	510
1661	3775	509
1661	3781	510
1684	3780	509
1712	3797	508
1701	3776	508
1702	3773	507
1737	3798	507
1720	3785	508
1727	3774	507
1752	3779	508
1761	3787	509
1752	3777	509
1769	3763	510
1791	3779	511
1794	3775	511
1821	3771	513
1822	3771	513
1825	3785	515
1834	3776	516
1855	3788	519
1857	3775	520
1849	3768	522
1875	3783	524
1867	3791	525
1871	3785	526
1888	3796	529
1910	3786	529
1909	3778	530
1893	3780	531
1921	3782	532
1921	3780	533
1937	3793	533
1951	3777	534
1945	3793	534
1953	3774	534
1952	3775	535
1969	3793	535
1975	3786	536
1994	3805	536
1996	3780	536
2012	3770	536
1994	3777	536
2010	3796	536
2021	3786	536
2036	3801	536
2049	3789	536
2047	3787	536
2048	3769	535
2067	3787	535
2075	3792	535
2089	3774	534
2102	3782	534
2096	3773	534
2111	3773	533
2122	3778	533
2142	3772	532
2135	3795	533
2150	3764	531
2143	3771	531
2152	3772	532
2173	3778	531
2182	3776	531
2193	3788	531
2200	3784	530
2200	3799	530
2186	3776	0
2207	3785	0
2218	3774	0
2223	3791	0
2240	3781	0
2249	3775	703
2229	3781	725
2258	3794	741
2283	3777	744
2283	3783	758
2282	3796	773
2298	3780	779
2286	3782	787
2309	3770	789
2315	3767	794
2339	3777	799
2341	3769	800
2338	3777	802
2355	3782	803
2375	3789	804
2371	3777	805
2390	3768	803
2401	3779	804
2379	3806	802
2400	3773	799
2405	3783	795
2419	3778	792
2412	3783	789
2436	3784	783
2439	3788	777
2454	3767	769
2471	3782	762
2469	3799	726
2455	3782	740
2481	3768	728
2466	3790	710
2497	3783	621
2480	3771	578
2490	3793	583
2523	3784	589
2515	3792	593
2535	3792	598
2537	3779	602
2544	3772	608
2565	3755	611
2561	3792	615
2563	3780	619
2565	3786	621
2583	3801	625
2570	3777	628
2595	3787	630
2601	3771	633
2587	3800	636
2624	3771	638
2627	3784	641
2646	3759	644
2636	3773	647
2653	3778	652
2649	3783	866
2653	3778	658
2675	3778	662
2672	3793	664
2690	3777	669
2692	3790	672
2679	3790	677
2708	3791	679
2710	3774	683
2723	3786	687
2699	3790	689
2722	3783	694
2737	3774	697
2741	3789	701
2743	3793	705
2750	3782	709
2752	3783	712
2782	3800	715
2758	3788	719
2793	3777	722
2788	3795	726
2810	3784	728
2802	3786	730
2791	3775	733
2815	3778	735
2819	3781	740
2818	3786	743
2834	3781	745
2830	3791	747
2838	3774	750
2848	3793	754
2853	3778	757
2848	3783	759
2869	3765	762
2864	3773	763
2869	3775	766
2886	3793	769
2880	3777	771
2894	3783	773
2898	3785	775
2912	3788	778
2902	3774	779
2914	3788	781
2919	3765	783
